title,types,score,drector,writer,actor,account,country,label,flim_version
花与蛇3,"剧情, 情色",5.1,成田裕介 Yusuke Narita,"团鬼六 Oniroku Dan, 我妻正义","小向美奈子, 本宫泰风, 小松崎真理, 工藤俊作, 斋藤步, 琴乃, 水谷圭, 火野正平",3687,日本,1.88037,1
止杀令,"剧情, 动作, 历史, 战争",5.1,王坪 Ping Wang,冉平 Ping Ran,"赵有亮, 涂们, 李小冉, 耿乐, 余少群, 中泉英雄, 朴艺珍, 徐锦江",3410,中国大陆,1.7391,1
情欲房,"剧情, 情色",5.1,邱金海 Eric Khoo,"Jonathon Lim, Andrew Hook","何超仪, 西野翔, 崔宇植, 金花雨, 丹尼尔·詹金斯, Netnaphad Pulsavad, 布恩·平考, Gillian Tan, 吴宇卫",2832,"新加坡, 香港",1.44432,1
葬礼上的角斗,"剧情, 动作",5.1,钟继昌 Kai Cheung Chung,N/A,"陈小春, 林家栋, 谭耀文",2017,香港,1.02867,1
解忧杂货店,"剧情, 奇幻",5,韩杰 Jie Han,"宋啸 Xiao Song, 东野圭吾 Keigo Higashino, 孙思雨 Siyu Sun, 朱思溢 Siyi Zhu","王俊凯, 迪丽热巴, 董子健, 李鸿其, 董李无忧, 成龙, 秦昊, 陈都灵, 郝蕾, 李梦, 成泰燊, 高华阳, 潘斌龙, 孟慧圆, 孙小野",81358,中国大陆,40.679,1
空天猎,"剧情, 动作, 战争",5,李晨 Chen Li,"李晨 Chen Li, 张力 Li Zhang, 刘毅 Yi Liu, 高岩 Yan Gao, 褚翔宇 Xiangyu Zhu","李晨, 范冰冰, 王千源, 李佳航, 赵达, 李晨浩, 郭洺宇, 叶浏, 陆思宇, 托马尔·奥兹, 吴秀波, 邓超, 王学圻",50696,中国大陆,25.348,1
铜雀台,"剧情, 古装",5,赵林山 Linshan Zhao,汪海林 Hailin Wang,"周润发, 刘亦菲, 苏有朋, 玉木宏, 伊能静, 邱心志, 姚橹, 倪大红, 牛犇, 罗家英, 保剑锋, 池程, 王洪千, 曲泉丞, 彭敬慈, 张籽沐, 刘杰毅, 郭金非, 田瑞辉, 颜冠英, 金延虎, 李胜达, 王羽铮, 王祖卿, 付俊龙",45020,中国大陆,22.51,1
五十度黑,"剧情, 爱情, 情色",5,詹姆斯·弗雷 James Foley,"尼尔·伦纳德 Niall Leonard, E·L·詹姆斯 E.L. James","达科塔·约翰逊, 詹米·多南, 埃里克·约翰逊, 艾洛斯·慕福特, 贝拉·希思科特, 瑞塔·奥拉, 卢克·葛莱姆斯, 维克多·罗塞克, 马克斯·马蒂尼, 布鲁斯·奥尔特曼, 金·贝辛格, 马西娅·盖伊·哈登, 安德鲁·爱尔莱, 萝宾·李, 艾米·普赖斯-弗朗西斯",33895,美国,16.9475,3
恋爱前规则,"剧情, 喜剧, 爱情",5,蒋钦民,"蒋钦民, 江湖","陈柏霖, 王珞丹, 周奇奇, 郭家铭, 连晋, 林秀玲, 丁海峰, 邹俊百",28167,中国,14.0835,1
赏金猎人,"剧情, 喜剧, 动作",5,申太罗 Terra Shin,"黄子桓 Edmond Wong, 金圭烷 Kyu-Wan Kim, 申太罗 Terra Shin","李敏镐, 钟汉良, 唐嫣, 徐正溪, 吴千语, 樊少皇, 金瑜美",27078,"中国大陆, 韩国, 香港",13.539,1
